index,sentence,chapter,neg,neu,pos,compound,chapter_text,moving_avg_comp,chapter_author,chapter_text_num
0,"  PART ONE  CONTAINING THE PAPERS OF A Are passions, then, the pagans of the soul?",0,0.0,0.814,0.186,0.4939,Preface,0.08009333333333334,Neutral,
1,Reason alone baptized?,0,0.5,0.5,0.0,-0.25,Preface,0.08408933333333334,Neutral,
2,"Edward Young1 PREFACE  PERHAPS it has sometimes occurred to you, dear reader, to doubt the correctness of the familiar philosophical proposition that the outward is the inward, the inward the outward.2 You yourself have perhaps nursed a secret which, in its joy or pain, you felt was too precious for you to be able to initiate others into it.",0,0.083,0.773,0.144,0.6486,Preface,0.08408933333333334,Neutral,
3,"Your life has perhaps brought you into touch with people of whom you suspected something of the kind, yet without being able to wrest their secret from them by force or guile.",0,0.054,0.85,0.096,0.3612,Preface,0.08408933333333334,Neutral,
4,"Perhaps neither case applies to you and your life, and yet you are not a stranger to that doubt; it has slipped before your mind now and then like a fleeting shadow.",0,0.071,0.857,0.071,0.0,Preface,0.08923400000000001,Neutral,
5,"Such a doubt comes and goes, and no one knows where it comes from or to where it hurries on.",0,0.207,0.793,0.0,-0.5719,Preface,0.09024133333333334,Neutral,
6,"I, for my part, have always been of a somewhat heretical temper on this point of philosophy and have therefore early accustomed myself to undertaking, as best I may, observations and investigations of my own; I have sought guidance from the authors whose views in this respect I shared; in short, I have done everything in my power to fill the gap left by the philosophical literature.",0,0.033,0.832,0.135,0.8273,Preface,0.09024133333333334,Neutral,
7,"Little by little, hearing became my favourite sense; for just as it is the voice that reveals the inwardness which is incommensurable with the outer, so the ear is the instrument whereby that inwardness is grasped, hearing the sense by which it is appropriated.",0,0.0,1.0,0.0,0.0,Preface,0.09024133333333334,Neutral,
8,"Whenever I found a contradiction between what I saw and what I heard, I found my doubt corroborated, and my passion for observation increased.",0,0.152,0.676,0.172,0.1531,Preface,0.09024133333333334,Neutral,
9,"A father-confessor is separated from the penitent by a grille; he does not see, he only hears.",0,0.0,1.0,0.0,0.0,Preface,0.090768,Neutral,
10,"Gradually, as he listens, he forms a corresponding exterior.",0,0.0,1.0,0.0,0.0,Preface,0.09382666666666667,Neutral,
11,"Consequently, he avoids contradiction.",0,0.649,0.351,0.0,-0.4019,Preface,0.096372,Neutral,
12,"It is otherwise, however, when you see and hear at the same time, and yet perceive a grille between yourself and the speaker.",0,0.0,1.0,0.0,0.0,Preface,0.096372,Neutral,
13,"As far as results go, my observational efforts in this direction have met with very varied success.",0,0.0,0.801,0.199,0.6096,Preface,0.100088,Neutral,
14,"Sometimes I have had fortune with me, sometimes not, and any returns along this road always depend on good fortune.",0,0.0,0.868,0.132,0.4404,Preface,0.100088,Neutral,
15,"However, I have never lost the desire to continue my investigations.",0,0.171,0.681,0.148,-0.0762,Preface,0.100088,Neutral,
16,"Whenever I have been on the point of ruing my perseverance, my efforts have been crowned by an unexpected stroke of luck.",0,0.102,0.781,0.117,0.1027,Preface,0.09739199999999999,Neutral,
17,"It was an unexpected stroke of good luck of this kind that, in a most curious way, put me in possession of the papers I hereby have the honour of presenting to the reading public.",0,0.0,0.658,0.342,0.9392,Preface,0.09541866666666667,Neutral,
18,"These papers have given me the opportunity to gain an insight into the lives of two men which corroborated my suspicion that the outward was not, after all, the inward.",0,0.073,0.754,0.173,0.5574,Preface,0.09541866666666667,Neutral,
19,This applies particularly to one of them.,0,0.0,1.0,0.0,0.0,Preface,0.09329733333333333,Neutral,
20,His exterior has been in complete contradiction to his interior.,0,0.182,0.818,0.0,-0.25,Preface,0.09329733333333333,Neutral,
21,To some extent it is also true of the other inasmuch as he concealed a rather significant interior beneath a somewhat ordinary exterior.,0,0.0,0.82,0.18,0.5574,Preface,0.09329733333333334,Neutral,
22,"Still, for the record I had better explain how these papers came into my possession.",0,0.0,0.828,0.172,0.4404,Preface,0.09163066666666668,Neutral,
23,"It is now about seven years since, at a second-hand dealer’s here in town, I noticed an escritoire.",0,0.0,1.0,0.0,0.0,Preface,0.09163066666666668,Neutral,
24,"It caught my attention the moment I saw it; it was not of modern workmanship and rather well used, yet it captivated me.",0,0.0,0.817,0.183,0.5719,Preface,0.09587666666666668,Neutral,
25,"I cannot possibly explain the reason for this impression, but most people have experienced something similar in their lives.",0,0.0,0.92,0.08,0.1437,Preface,0.09814333333333335,Neutral,
26,"My daily path took me past the dealer and his escritoire, and never a day passed but I fastened my eyes on it as I went by.",0,0.0,1.0,0.0,0.0,Preface,0.09814333333333335,Neutral,
27,"Gradually that escritoire acquired a history for me; seeing it became a necessity for me, and to that end I thought nothing of going out of my way for its sake when an unaccustomed route called for that.",0,0.0,1.0,0.0,0.0,Preface,0.09814333333333335,Neutral,
28,The more I saw it the more I wanted to possess it.,0,0.0,1.0,0.0,0.0,Preface,0.09814333333333335,Neutral,
29,"I was quite aware that this was a curious desire, seeing I had no use for this piece of furniture, that procuring it was an extravagance on my part.",0,0.066,0.783,0.151,0.4215,Preface,0.09601333333333334,Neutral,
30,"Yet, as we all know, desire is very sophistical.",0,0.0,0.748,0.252,0.4019,Preface,0.10048333333333334,Neutral,
31,"I found some pretext for going into the dealer’s, asked about other things, and as I was about to leave, casually made a very low offer for the escritoire.",0,0.115,0.831,0.054,-0.2247,Preface,0.098362,Neutral,
32,I thought the dealer might possibly have accepted.,0,0.0,0.769,0.231,0.2732,Preface,0.102608,Neutral,
33,Then it would have fallen into my hands by chance.,0,0.2,0.64,0.16,-0.128,Preface,0.102608,Neutral,
34,"Certainly it wasn’t for the sake of the money that I behaved in this way, but for the sake of my conscience.",0,0.0,0.925,0.075,0.1779,Preface,0.10590066666666667,Neutral,
35,The plan failed.,0,0.623,0.377,0.0,-0.5106,Preface,0.10590066666666667,Neutral,
36,The dealer was uncommonly firm.,0,0.0,1.0,0.0,0.0,Preface,0.10590066666666667,Neutral,
37,"For some time again I went by every day, and looked with loving eyes upon my escritoire.",0,0.0,0.804,0.196,0.5994,Preface,0.11121,Neutral,
38,"‘You must make up your mind,’ I thought, ‘for suppose it is sold, then it’s too late.",0,0.0,1.0,0.0,0.0,Preface,0.11287666666666667,Neutral,
39,"Even if you succeeded in getting hold of it again, you would never have the same feeling for it.’ My heart pounded when I went into the dealer’s.",0,0.0,0.746,0.254,0.8176,Preface,0.11075533333333333,Neutral,
40,It was bought and paid for.,0,0.0,1.0,0.0,0.0,Preface,0.10617266666666667,Neutral,
41,"‘This has to be the last time,’ I thought, ‘that you are so extravagant.",0,0.0,1.0,0.0,0.0,Preface,0.11084133333333333,Neutral,
42,"Yes, in fact it is lucky you have bought it, for every time you look at it you will think how extravagant you were.",0,0.0,0.8,0.2,0.6705,Preface,0.11084133333333333,Neutral,
43,"With the escritoire a new period of your life is to begin.’ Alas, desire is very eloquent and good resolutions are always at hand!",0,0.067,0.636,0.297,0.805,Preface,0.11324933333333334,Neutral,
44,"So the escritoire was set up in my apartment, and as my pleasure in the first period of my enamourment had been to look upon it from the street, so now I walked by it at home.",0,0.0,0.907,0.093,0.5719,Preface,0.11127600000000001,Neutral,
45,"Gradually I became familiar with all its rich content, its many drawers and recesses, and I was pleased in every way with the escritoire.",0,0.0,0.772,0.228,0.7579,Preface,0.11309733333333334,Neutral,
46,But it was not to remain thus.,0,0.0,1.0,0.0,0.0,Preface,0.11207666666666667,Neutral,
47,In the summer of 1836 my affairs permitted me a week’s trip to the country.,0,0.0,1.0,0.0,0.0,Preface,0.10836066666666667,Neutral,
48,The postilion was ordered for five o’clock in the morning.,0,0.0,1.0,0.0,0.0,Preface,0.10474533333333334,Neutral,
49,The luggage I needed had been packed the evening before; everything was prepared.,0,0.0,0.863,0.137,0.2263,Preface,0.10474533333333334,Neutral,
50,"I awoke at four, but the picture of the beautiful district I was to visit had such an intoxicating effect upon me that I fell asleep again, or to dreaming.",0,0.0,0.844,0.156,0.7469,Preface,0.10609400000000001,Neutral,
51,"It seems my servant thought he should allow me all the sleep I could get, for it was not until half-past five that he called me.",0,0.0,0.929,0.071,0.2263,Preface,0.10836066666666667,Neutral,
52,"The postilion was already blowing his horn, and although I am not usually inclined to follow the orders of others I have nevertheless always made an exception of the postilion and his evocative leitmotif.",0,0.0,1.0,0.0,0.0,Preface,0.10508466666666667,Neutral,
53,I was speedily dressed.,0,0.0,1.0,0.0,0.0,Preface,0.10201733333333335,Neutral,
54,"I was already at the door when it occurred to me, ‘Have you enough money in your pocket-book?’ There wasn’t much.",0,0.0,1.0,0.0,0.0,Preface,0.10481666666666668,Neutral,
55,I unlocked the escritoire to pull out my money drawer and take with me what the house could afford.,0,0.0,1.0,0.0,0.0,Preface,0.10633666666666668,Neutral,
56,What do you think!,0,0.0,1.0,0.0,0.0,Preface,0.10874466666666668,Neutral,
57,The drawer wouldn’t budge.,0,0.0,1.0,0.0,0.0,Preface,0.10556666666666668,Neutral,
58,All expedients were in vain.,0,0.412,0.588,0.0,-0.4215,Preface,0.10850266666666668,Neutral,
59,It was all as unfortunate as could be.,0,0.3,0.7,0.0,-0.4588,Preface,0.110464,Neutral,
60,"To stumble just at that moment, when my ears were still ringing with the postilion’s inviting tones, on such difficulties!",0,0.097,0.79,0.114,0.1007,Preface,0.11351466666666668,Neutral,
61,"The blood rose to my head, I became indignant.",0,0.259,0.741,0.0,-0.4215,Preface,0.11723066666666668,Neutral,
